"FL_DATE","UNIQUE_CARRIER","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","ARR_DELAY","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2014-05-01,"AA","44","LAS","JFK","0825",66.00,0.00,51.00,0.00,15.00,0.00,0.00,
2014-05-01,"AA","45","JFK","LAS","1700",5.00,0.00,,,,,,
2014-05-01,"AA","59","JFK","SFO","0800",-38.00,0.00,,,,,,
2014-05-01,"AA","64","DFW","JFK","1055",-3.00,0.00,,,,,,
2014-05-01,"AA","65","JFK","DFW","1540",14.00,0.00,,,,,,
2014-05-01,"AA","66","SAN","JFK","0730",-11.00,0.00,,,,,,
2014-05-01,"AA","67","JFK","SAN","1705",54.00,0.00,0.00,0.00,0.00,0.00,54.00,
2014-05-01,"AA","84","BOS","JFK","1045",-3.00,0.00,,,,,,
2014-05-01,"AA","84","JFK","BOS","0800",2.00,0.00,,,,,,
2014-05-01,"AA","85","JFK","SFO","1530",-15.00,0.00,,,,,,
2014-05-01,"AA","171","JFK","LAX","0600",-8.00,0.00,,,,,,
2014-05-01,"AA","133","JFK","LAX","1600",-37.00,0.00,,,,,,
2014-05-01,"AA","145","JFK","MIA","1455",27.00,0.00,0.00,0.00,27.00,0.00,0.00,
2014-05-01,"AA","198","ORD","JFK","1300",6.00,0.00,,,,,,
2014-05-01,"AA","199","JFK","ORD","1710",12.00,0.00,,,,,,
2014-05-01,"AA","94","SJU","JFK","0955",11.00,0.00,,,,,,
2014-05-01,"AA","95","JFK","SJU","1630",56.00,0.00,12.00,0.00,0.00,0.00,44.00,
2014-05-01,"AA","117","JFK","LAX","1345",-27.00,0.00,,,,,,
2014-05-01,"AA","118","LAX","JFK","0700",10.00,0.00,,,,,,
2014-05-01,"AA","120","LAS","JFK","1025",-1.00,0.00,,,,,,
2014-05-01,"AA","235","JFK","SEA","1755",85.00,0.00,1.00,0.00,0.00,0.00,84.00,
2014-05-01,"AA","236","SEA","JFK","0715",22.00,0.00,0.00,0.00,22.00,0.00,0.00,
2014-05-01,"AA","172","LAX","JFK","1020",5.00,0.00,,,,,,
2014-05-01,"AA","177","JFK","SFO","1755",-25.00,0.00,,,,,,
2014-05-01,"AA","178","BOS","JFK","1445",155.00,0.00,0.00,0.00,9.00,0.00,146.00,
2014-05-01,"AA","178","JFK","BOS","1255",154.00,0.00,7.00,0.00,15.00,0.00,132.00,
2014-05-01,"AA","179","JFK","SFO","1010",-27.00,0.00,,,,,,
2014-05-01,"AA","180","LAX","JFK","1630",31.00,0.00,31.00,0.00,0.00,0.00,0.00,
2014-05-01,"AA","181","JFK","LAX","1700",-17.00,0.00,,,,,,
2014-05-01,"AA","185","JFK","LAX","2155",-24.00,0.00,,,,,,
2014-05-01,"AA","256","BOS","JFK","1910",-3.00,0.00,,,,,,
2014-05-01,"AA","256","JFK","BOS","1700",5.00,0.00,,,,,,
2014-05-01,"AA","290","AUS","JFK","1010",6.00,0.00,,,,,,
2014-05-01,"AA","291","JFK","AUS","1700",-4.00,0.00,,,,,,
2014-05-01,"AA","384","ORD","LGA","0930",41.00,0.00,0.00,0.00,34.00,0.00,7.00,
2014-05-01,"AA","301","LGA","ORD","0600",-13.00,0.00,,,,,,
2014-05-01,"AA","303","LGA","ORD","0630",-18.00,0.00,,,,,,
2014-05-01,"AA","305","LGA","ORD","0700",12.00,0.00,,,,,,
2014-05-01,"AA","307","LGA","ORD","0740",-1.00,0.00,,,,,,
2014-05-01,"AA","313","LGA","ORD","0830",-8.00,0.00,,,,,,
2014-05-01,"AA","317","LGA","ORD","0945",-19.00,0.00,,,,,,
2014-05-01,"AA","325","LGA","ORD","1020",-15.00,0.00,,,,,,
2014-05-01,"AA","326","ORD","LGA","2045",18.00,0.00,0.00,0.00,18.00,0.00,0.00,
2014-05-01,"AA","327","LGA","ORD","1120",-8.00,0.00,,,,,,
2014-05-01,"AA","331","LGA","ORD","1320",23.00,0.00,0.00,0.00,0.00,0.00,23.00,
