"FL_DATE","UNIQUE_CARRIER","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","ARR_DELAY","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2014-04-01,"AA","1","JFK","LAX","0900",2.00,0.00,,,,,,
2014-04-01,"AA","2","LAX","JFK","0930",-29.00,0.00,,,,,,
2014-04-01,"AA","3","JFK","LAX","1230",39.00,0.00,0.00,0.00,39.00,0.00,0.00,
2014-04-01,"AA","4","LAX","JFK","1215",-27.00,0.00,,,,,,
2014-04-01,"AA","9","JFK","LAX","0655",19.00,0.00,0.00,0.00,19.00,0.00,0.00,
2014-04-01,"AA","10","LAX","JFK","2135",1.00,0.00,,,,,,
2014-04-01,"AA","12","LAX","JFK","1115",-40.00,0.00,,,,,,
2014-04-01,"AA","16","SFO","JFK","1255",-33.00,0.00,,,,,,
2014-04-01,"AA","18","SFO","JFK","2230",88.00,0.00,0.00,0.00,0.00,0.00,88.00,
2014-04-01,"AA","19","JFK","LAX","1030",18.00,0.00,0.00,0.00,18.00,0.00,0.00,
2014-04-01,"AA","20","SFO","JFK","1500",120.00,0.00,0.00,0.00,0.00,0.00,120.00,
2014-04-01,"AA","21","JFK","LAX","1910",16.00,0.00,0.00,0.00,16.00,0.00,0.00,
2014-04-01,"AA","22","LAX","JFK","1500",11.00,0.00,,,,,,
2014-04-01,"AA","24","SFO","JFK","0700",-2.00,0.00,,,,,,
2014-04-01,"AA","29","LGA","PBI","0730",-34.00,0.00,,,,,,
2014-04-01,"AA","29","PBI","LGA","1115",-11.00,0.00,,,,,,
2014-04-01,"AA","30","LAX","JFK","2335",8.00,0.00,,,,,,
2014-04-01,"AA","32","LAX","JFK","1400",-31.00,0.00,,,,,,
2014-04-01,"AA","33","JFK","LAX","0800",31.00,0.00,0.00,0.00,31.00,0.00,0.00,
2014-04-01,"AA","34","LAX","JFK","0810",-15.00,0.00,,,,,,
2014-04-01,"AA","133","JFK","LAX","1600",6.00,0.00,,,,,,
2014-04-01,"AA","145","JFK","MIA","1455",-21.00,0.00,,,,,,
2014-04-01,"AA","94","SJU","JFK","0955",-26.00,0.00,,,,,,
2014-04-01,"AA","95","JFK","SJU","1630",-6.00,0.00,,,,,,
2014-04-01,"AA","117","JFK","LAX","1345",19.00,0.00,0.00,0.00,19.00,0.00,0.00,
