"FL_DATE","UNIQUE_CARRIER","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","ARR_DELAY","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2014-06-01,"AA","1","JFK","LAX","0900",-5.00,0.00,,,,,,
2014-06-01,"AA","2","LAX","JFK","0900",-19.00,0.00,,,,,,
2014-06-01,"AA","3","JFK","LAX","1230",-13.00,0.00,,,,,,
2014-06-01,"AA","4","LAX","JFK","1215",160.00,0.00,160.00,0.00,0.00,0.00,0.00,
2014-06-01,"AA","9","JFK","LAX","0700",-1.00,0.00,,,,,,
2014-06-01,"AA","10","LAX","JFK","2135",-2.00,0.00,,,,,,
2014-06-01,"AA","12","LAX","JFK","1115",40.00,0.00,40.00,0.00,0.00,0.00,0.00,
2014-06-01,"AA","16","SFO","JFK","1255",-31.00,0.00,,,,,,
2014-06-01,"AA","18","SFO","JFK","2235",-8.00,0.00,,,,,,
2014-06-01,"AA","19","JFK","LAX","1030",-16.00,0.00,,,,,,
2014-06-01,"AA","20","SFO","JFK","1500",-5.00,0.00,,,,,,
2014-06-01,"AA","21","JFK","LAX","1845",-45.00,0.00,,,,,,
2014-06-01,"AA","22","LAX","JFK","1500",-18.00,0.00,,,,,,
2014-06-01,"AA","24","SFO","JFK","0700",-17.00,0.00,,,,,,
2014-06-01,"AA","30","LAX","JFK","2325",-16.00,0.00,,,,,,
2014-06-01,"AA","32","LAX","JFK","1405",-18.00,0.00,,,,,,
2014-06-01,"AA","116","DFW","JFK","1605",4.00,0.00,,,,,,
2014-06-01,"AA","117","JFK","LAX","1500",-23.00,0.00,,,,,,
2014-06-01,"AA","118","LAX","JFK","0655",-22.00,0.00,,,,,,
2014-06-01,"AA","119","JFK","DFW","0829",-24.00,0.00,,,,,,
2014-06-01,"AA","120","LAS","JFK","1030",-14.00,0.00,,,,,,
2014-06-01,"AA","33","JFK","LAX","0800",1.00,0.00,,,,,,
2014-06-01,"AA","34","LAX","JFK","0805",-30.00,0.00,,,,,,
2014-06-01,"AA","44","LAS","JFK","0815",-21.00,0.00,,,,,,
2014-06-01,"AA","45","JFK","LAS","1700",4.00,0.00,,,,,,
2014-06-01,"AA","59","JFK","SFO","0805",-4.00,0.00,,,,,,
2014-06-01,"AA","64","DFW","JFK","1010",-4.00,0.00,,,,,,
2014-06-01,"AA","65","JFK","DFW","1620",-35.00,0.00,,,,,,
2014-06-01,"AA","66","SAN","JFK","0745",-26.00,0.00,,,,,,
2014-06-01,"AA","67","JFK","SAN","1715",-8.00,0.00,,,,,,
2014-06-01,"AA","145","JFK","MIA","1430",-51.00,0.00,,,,,,
2014-06-01,"AA","133","JFK","LAX","1630",-21.00,0.00,,,,,,
2014-06-01,"AA","235","JFK","SEA","1800",-22.00,0.00,,,,,,
2014-06-01,"AA","236","SEA","JFK","0700",-33.00,0.00,,,,,,
2014-06-01,"AA","171","JFK","LAX","0555",-21.00,0.00,,,,,,
2014-06-01,"AA","172","LAX","JFK","1000",-30.00,0.00,,,,,,
2014-06-01,"AA","313","LGA","ORD","0735",-17.00,0.00,,,,,,
2014-06-01,"AA","177","JFK","SFO","1800",-4.00,0.00,,,,,,
2014-06-01,"AA","178","BOS","JFK","1425",-29.00,0.00,,,,,,
2014-06-01,"AA","178","JFK","BOS","1230",-15.00,0.00,,,,,,
2014-06-01,"AA","179","JFK","SFO","1010",4.00,0.00,,,,,,
2014-06-01,"AA","180","LAX","JFK","1635",-10.00,0.00,,,,,,
2014-06-01,"AA","181","JFK","LAX","1700",-19.00,0.00,,,,,,
2014-06-01,"AA","185","JFK","LAX","2045",-12.00,0.00,,,,,,
2014-06-01,"AA","198","ORD","JFK","1255",-15.00,0.00,,,,,,
2014-06-01,"AA","199","JFK","ORD","1715",-18.00,0.00,,,,,,
2014-06-01,"AA","335","LGA","ORD","1315",-14.00,0.00,,,,,,
2014-06-01,"AA","336","ORD","LGA","2000",-13.00,0.00,,,,,,
2014-06-01,"AA","337","LGA","ORD","1425",-30.00,0.00,,,,,,
2014-06-01,"AA","343","LGA","ORD","1600",-38.00,0.00,,,,,,
2014-06-01,"AA","345","LGA","ORD","1700",42.00,0.00,0.00,0.00,42.00,0.00,0.00,
2014-06-01,"AA","347","LGA","MIA","1140",-41.00,0.00,,,,,,
2014-06-01,"AA","347","MIA","LGA","1550",-23.00,0.00,,,,,,
2014-06-01,"AA","348","ORD","LGA","1940",27.00,0.00,0.00,0.00,0.00,0.00,27.00,
2014-06-01,"AA","350","ORD","LGA","1835",-18.00,0.00,,,,,,
2014-06-01,"AA","352","ORD","LGA","1740",-8.00,0.00,,,,,,
2014-06-01,"AA","355","LGA","ORD","1800",17.00,0.00,0.00,0.00,17.00,0.00,0.00,
2014-06-01,"AA","84","BOS","JFK","1020",-20.00,0.00,,,,,,
2014-06-01,"AA","84","JFK","BOS","0820",-12.00,0.00,,,,,,
2014-06-01,"AA","85","JFK","SFO","1530",17.00,0.00,0.00,0.00,17.00,0.00,0.00,
