"FL_DATE","UNIQUE_CARRIER","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","ARR_DELAY","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2014-08-01,"AA","84","BOS","JFK","1025",-14.00,0.00,,,,,,
2014-08-01,"AA","84","JFK","BOS","0825",-5.00,0.00,,,,,,
2014-08-01,"AA","85","JFK","SFO","1530",55.00,0.00,0.00,0.00,55.00,0.00,0.00,
2014-08-01,"AA","94","SAN","JFK","0755",-23.00,0.00,,,,,,
2014-08-01,"AA","95","JFK","SAN","1745",46.00,0.00,0.00,0.00,46.00,0.00,0.00,
2014-08-01,"AA","149","ORD","JFK","1935",134.00,0.00,0.00,0.00,0.00,0.00,134.00,
2014-08-01,"AA","33","JFK","LAX","0800",31.00,0.00,0.00,0.00,31.00,0.00,0.00,
2014-08-01,"AA","34","LAX","JFK","0805",-27.00,0.00,,,,,,
2014-08-01,"AA","44","LAS","JFK","0815",-12.00,0.00,,,,,,
2014-08-01,"AA","45","JFK","LAS","1700",230.00,0.00,0.00,0.00,4.00,0.00,226.00,
2014-08-01,"AA","59","JFK","SFO","0800",-13.00,0.00,,,,,,
2014-08-01,"AA","64","DFW","JFK","1015",-5.00,0.00,,,,,,
2014-08-01,"AA","65","JFK","DFW","1559",85.00,0.00,0.00,0.00,85.00,0.00,0.00,
2014-08-01,"AA","66","SJU","JFK","1055",-6.00,0.00,,,,,,
2014-08-01,"AA","67","JFK","SJU","1729",25.00,0.00,0.00,0.00,25.00,0.00,0.00,
2014-08-01,"AA","168","SJU","JFK","1910",56.00,0.00,0.00,0.00,6.00,0.00,50.00,
2014-08-01,"AA","171","JFK","LAX","0600",18.00,0.00,0.00,0.00,18.00,0.00,0.00,
2014-08-01,"AA","172","LAX","JFK","1005",-13.00,0.00,,,,,,
2014-08-01,"AA","177","JFK","SFO","1800",-7.00,0.00,,,,,,
2014-08-01,"AA","178","BOS","JFK","1430",248.00,0.00,0.00,0.00,248.00,0.00,0.00,
2014-08-01,"AA","178","JFK","BOS","1229",-7.00,0.00,,,,,,
2014-08-01,"AA","179","JFK","SFO","1030",-6.00,0.00,,,,,,
2014-08-01,"AA","180","LAX","JFK","1630",93.00,0.00,0.00,0.00,93.00,0.00,0.00,
2014-08-01,"AA","181","JFK","LAX","1730",14.00,0.00,,,,,,
2014-08-01,"AA","185","JFK","LAX","2055",0.00,0.00,,,,,,
2014-08-01,"AA","117","JFK","LAX","1500",158.00,0.00,0.00,0.00,158.00,0.00,0.00,
2014-08-01,"AA","118","LAX","JFK","0655",-18.00,0.00,,,,,,
2014-08-01,"AA","120","LAS","JFK","1040",-15.00,0.00,,,,,,
2014-08-01,"AA","133","JFK","LAX","1630",91.00,0.00,0.00,0.00,91.00,0.00,0.00,
2014-08-01,"AA","198","ORD","JFK","1245",209.00,0.00,0.00,0.00,186.00,0.00,23.00,
2014-08-01,"AA","199","JFK","ORD","1705",727.00,0.00,535.00,0.00,0.00,0.00,192.00,
2014-08-01,"AA","1","JFK","LAX","0900",-5.00,0.00,,,,,,
2014-08-01,"AA","2","LAX","JFK","0900",-4.00,0.00,,,,,,
2014-08-01,"AA","3","JFK","LAX","1230",22.00,0.00,0.00,0.00,22.00,0.00,0.00,
2014-08-01,"AA","4","LAX","JFK","1210",93.00,0.00,0.00,0.00,79.00,0.00,14.00,
2014-08-01,"AA","9","JFK","LAX","0700",12.00,0.00,,,,,,
2014-08-01,"AA","10","LAX","JFK","2155",8.00,0.00,,,,,,
2014-08-01,"AA","12","LAX","JFK","1105",-13.00,0.00,,,,,,
2014-08-01,"AA","15","LGA","MIA","0600",13.00,0.00,,,,,,
2014-08-01,"AA","15","MIA","LGA","0950",0.00,0.00,,,,,,
2014-08-01,"AA","16","SFO","JFK","1240",76.00,0.00,0.00,0.00,76.00,0.00,0.00,
2014-08-01,"AA","18","SFO","JFK","2245",130.00,0.00,109.00,0.00,21.00,0.00,0.00,
2014-08-01,"AA","19","JFK","LAX","1100",-6.00,0.00,,,,,,
2014-08-01,"AA","20","SFO","JFK","1515",8.00,0.00,,,,,,
2014-08-01,"AA","21","JFK","LAX","1830",49.00,0.00,0.00,0.00,32.00,0.00,17.00,
2014-08-01,"AA","22","LAX","JFK","1505",104.00,0.00,0.00,0.00,104.00,0.00,0.00,
2014-08-01,"AA","24","SFO","JFK","0700",-4.00,0.00,,,,,,
2014-08-01,"AA","27","LGA","MIA","1329",70.00,0.00,0.00,0.00,70.00,0.00,0.00,
2014-08-01,"AA","27","MIA","LGA","1745",74.00,0.00,0.00,0.00,74.00,0.00,0.00,
2014-08-01,"AA","30","LAX","JFK","2330",-6.00,0.00,,,,,,
2014-08-01,"AA","32","LAX","JFK","1405",56.00,0.00,0.00,0.00,56.00,0.00,0.00,
2014-08-01,"AA","301","LGA","ORD","0600",5.00,0.00,,,,,,
2014-08-01,"AA","303","LGA","ORD","0629",-18.00,0.00,,,,,,
2014-08-01,"AA","307","LGA","ORD","0659",-19.00,0.00,,,,,,
2014-08-01,"AA","311","LGA","ORD","0729",0.00,0.00,,,,,,
2014-08-01,"AA","317","LGA","ORD","0830",-19.00,0.00,,,,,,
2014-08-01,"AA","163","JFK","SFO","2000",13.00,0.00,,,,,,
2014-08-01,"AA","164","SFO","JFK","0840",33.00,0.00,0.00,0.00,33.00,0.00,0.00,
2014-08-01,"AA","235","JFK","SEA","1800",0.00,0.00,,,,,,
2014-08-01,"AA","236","SEA","JFK","0700",9.00,0.00,,,,,,
2014-08-01,"AA","255","JFK","LAX","1000",-3.00,0.00,,,,,,
2014-08-01,"AA","256","LAX","JFK","1310",59.00,0.00,0.00,0.00,59.00,0.00,0.00,
2014-08-01,"AA","329","LGA","ORD","1120",-12.00,0.00,,,,,,
2014-08-01,"AA","331","LGA","ORD","1225",-21.00,0.00,,,,,,
2014-08-01,"AA","190","JFK","ORD","0750",-16.00,0.00,,,,,,
2014-08-01,"AA","290","AUS","JFK","1005",7.00,0.00,,,,,,
2014-08-01,"AA","291","JFK","AUS","1729",78.00,0.00,0.00,0.00,78.00,0.00,0.00,
2014-08-01,"AA","292","LAX","JFK","0600",10.00,0.00,,,,,,
2014-08-01,"AA","293","JFK","LAX","1929",-16.00,0.00,,,,,,
2014-08-01,"AA","384","ORD","LGA","0930",-4.00,0.00,,,,,,
2014-08-01,"AA","388","ORD","LGA","0835",-11.00,0.00,,,,,,
2014-08-01,"AA","392","ORD","LGA","0735",-5.00,0.00,,,,,,
2014-08-01,"AA","325","LGA","ORD","0945",-20.00,0.00,,,,,,
2014-08-01,"AA","326","ORD","LGA","2035",12.00,0.00,,,,,,
2014-08-01,"AA","327","LGA","ORD","1025",369.00,0.00,260.00,0.00,109.00,0.00,0.00,
2014-08-01,"AA","358","ORD","LGA","1645",72.00,0.00,0.00,0.00,0.00,0.00,72.00,
2014-08-01,"AA","359","LGA","ORD","1855",129.00,0.00,0.00,0.00,7.00,0.00,122.00,
2014-08-01,"AA","360","ORD","LGA","1540",193.00,0.00,0.00,0.00,6.00,0.00,187.00,
2014-08-01,"AA","363","LGA","ORD","1945",160.00,0.00,0.00,0.00,0.00,0.00,160.00,
2014-08-01,"AA","364","ORD","LGA","1455",131.00,0.00,0.00,0.00,63.00,0.00,68.00,
2014-08-01,"AA","366","ORD","LGA","1400",155.00,0.00,0.00,0.00,155.00,0.00,0.00,
2014-08-01,"AA","368","ORD","LGA","1300",226.00,0.00,0.00,0.00,226.00,0.00,0.00,
2014-08-01,"AA","371","LGA","ORD","2050",82.00,0.00,0.00,0.00,11.00,0.00,71.00,
2014-08-01,"AA","374","ORD","LGA","1215",,0.00,,,,,,
2014-08-01,"AA","380","ORD","LGA","1040",-3.00,0.00,,,,,,
2014-08-01,"AA","335","LGA","ORD","1315",44.00,0.00,0.00,0.00,44.00,0.00,0.00,
2014-08-01,"AA","337","LGA","ORD","1425",181.00,0.00,107.00,0.00,74.00,0.00,0.00,
2014-08-01,"AA","340","ORD","LGA","1955",50.00,0.00,4.00,0.00,14.00,0.00,32.00,
2014-08-01,"AA","343","LGA","ORD","1610",183.00,0.00,0.00,0.00,0.00,0.00,183.00,
2014-08-01,"AA","345","LGA","ORD","1700",211.00,0.00,0.00,0.00,0.00,0.00,211.00,
2014-08-01,"AA","346","ORD","LGA","1820",86.00,0.00,0.00,0.00,10.00,0.00,76.00,
2014-08-01,"AA","347","LGA","MIA","1129",12.00,0.00,,,,,,
2014-08-01,"AA","347","MIA","LGA","1540",111.00,0.00,0.00,0.00,111.00,0.00,0.00,
2014-08-01,"AA","350","ORD","LGA","1905",63.00,0.00,48.00,0.00,0.00,0.00,15.00,
2014-08-01,"AA","352","ORD","LGA","1840",81.00,0.00,0.00,0.00,9.00,0.00,72.00,
2014-08-01,"AA","355","LGA","ORD","1800",182.00,0.00,0.00,0.00,27.00,0.00,155.00,
2014-08-01,"AA","1029","DCA","JFK","1800",44.00,0.00,0.00,0.00,0.00,0.00,44.00,
2014-08-01,"AA","1029","JFK","DCA","1530",63.00,0.00,0.00,0.00,63.00,0.00,0.00,
2014-08-01,"AA","1048","MIA","JFK","1745",2.00,0.00,,,,,,
