"FL_DATE","UNIQUE_CARRIER","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","ARR_DELAY","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2014-02-01,"AA","1","JFK","LAX","0900",1.00,0.00,,,,,,
2014-02-01,"AA","2","LAX","JFK","0930",-51.00,0.00,,,,,,
2014-02-01,"AA","3","JFK","LAX","1200",3.00,0.00,,,,,,
2014-02-01,"AA","10","LAX","JFK","2115",-16.00,0.00,,,,,,
2014-02-01,"AA","16","SFO","JFK","1250",91.00,0.00,91.00,0.00,0.00,0.00,0.00,
2014-02-01,"AA","19","JFK","LAX","1030",-10.00,0.00,,,,,,
2014-02-01,"AA","20","SFO","JFK","1510",-50.00,0.00,,,,,,
2014-02-01,"AA","21","JFK","LAX","1900",6.00,0.00,,,,,,
2014-02-01,"AA","22","LAX","JFK","1500",-18.00,0.00,,,,,,
2014-02-01,"AA","24","SFO","JFK","0705",-32.00,0.00,,,,,,
2014-02-01,"AA","29","LGA","PBI","0730",-24.00,0.00,,,,,,
2014-02-01,"AA","29","PBI","LGA","1125",-10.00,0.00,,,,,,
2014-02-01,"AA","30","LAX","JFK","2325",-30.00,0.00,,,,,,
2014-02-01,"AA","32","LAX","JFK","1345",-21.00,0.00,,,,,,
2014-02-01,"AA","34","LAX","JFK","0800",-52.00,0.00,,,,,,
2014-02-01,"AA","44","LAS","JFK","0820",-38.00,0.00,,,,,,
2014-02-01,"AA","45","JFK","LAS","1700",7.00,0.00,,,,,,
2014-02-01,"AA","133","JFK","LAX","1545",7.00,0.00,,,,,,
2014-02-01,"AA","145","JFK","MIA","1510",-24.00,0.00,,,,,,
2014-02-01,"AA","59","JFK","SFO","0800",-7.00,0.00,,,,,,
2014-02-01,"AA","64","DFW","JFK","1055",-15.00,0.00,,,,,,
2014-02-01,"AA","65","JFK","DFW","1540",-17.00,0.00,,,,,,
2014-02-01,"AA","66","SAN","JFK","0740",-40.00,0.00,,,,,,
2014-02-01,"AA","67","JFK","SAN","1705",36.00,0.00,30.00,0.00,6.00,0.00,0.00,
2014-02-01,"AA","84","BOS","JFK","1045",-21.00,0.00,,,,,,
2014-02-01,"AA","84","JFK","BOS","0800",22.00,0.00,22.00,0.00,0.00,0.00,0.00,
2014-02-01,"AA","85","JFK","SFO","1530",-13.00,0.00,,,,,,
2014-02-01,"AA","94","SJU","JFK","1050",-9.00,0.00,,,,,,
2014-02-01,"AA","95","JFK","SJU","1630",-23.00,0.00,,,,,,
2014-02-01,"AA","178","BOS","JFK","1450",145.00,0.00,0.00,0.00,1.00,0.00,144.00,
2014-02-01,"AA","178","JFK","BOS","1250",-11.00,0.00,,,,,,
2014-02-01,"AA","179","JFK","SFO","1030",7.00,0.00,,,,,,
2014-02-01,"AA","180","LAX","JFK","1625",-39.00,0.00,,,,,,
2014-02-01,"AA","181","JFK","LAX","1645",9.00,0.00,,,,,,
