"FL_DATE","UNIQUE_CARRIER","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","ARR_DELAY","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2014-07-01,"AA","1","JFK","LAX","0900",-26.00,0.00,,,,,,
2014-07-01,"AA","2","LAX","JFK","0900",-46.00,0.00,,,,,,
2014-07-01,"AA","3","JFK","LAX","1230",-5.00,0.00,,,,,,
2014-07-01,"AA","4","LAX","JFK","1210",31.00,0.00,0.00,0.00,31.00,0.00,0.00,
2014-07-01,"AA","9","JFK","LAX","0700",-9.00,0.00,,,,,,
2014-07-01,"AA","10","LAX","JFK","2155",-9.00,0.00,,,,,,
2014-07-01,"AA","12","LAX","JFK","1105",-40.00,0.00,,,,,,
2014-07-01,"AA","15","LGA","MIA","0600",-17.00,0.00,,,,,,
2014-07-01,"AA","15","MIA","LGA","0950",-7.00,0.00,,,,,,
2014-07-01,"AA","16","SFO","JFK","1240",-10.00,0.00,,,,,,
2014-07-01,"AA","18","SFO","JFK","2245",6.00,0.00,,,,,,
2014-07-01,"AA","19","JFK","LAX","1100",-32.00,0.00,,,,,,
2014-07-01,"AA","20","SFO","JFK","1515",-6.00,0.00,,,,,,
2014-07-01,"AA","21","JFK","LAX","1830",8.00,0.00,,,,,,
2014-07-01,"AA","22","LAX","JFK","1505",26.00,0.00,0.00,0.00,26.00,0.00,0.00,
2014-07-01,"AA","24","SFO","JFK","0700",-10.00,0.00,,,,,,
2014-07-01,"AA","27","LGA","MIA","1329",-4.00,0.00,,,,,,
2014-07-01,"AA","27","MIA","LGA","1745",-1.00,0.00,,,,,,
2014-07-01,"AA","30","LAX","JFK","2330",-12.00,0.00,,,,,,
2014-07-01,"AA","133","JFK","LAX","1630",-16.00,0.00,,,,,,
2014-07-01,"AA","149","ORD","JFK","1935",-5.00,0.00,,,,,,
2014-07-01,"AA","117","JFK","LAX","1500",72.00,0.00,29.00,0.00,43.00,0.00,0.00,
2014-07-01,"AA","118","LAX","JFK","0655",-19.00,0.00,,,,,,
2014-07-01,"AA","120","LAS","JFK","1040",-25.00,0.00,,,,,,
2014-07-01,"AA","198","ORD","JFK","1245",-23.00,0.00,,,,,,
2014-07-01,"AA","199","JFK","ORD","1705",-15.00,0.00,,,,,,
2014-07-01,"AA","66","SJU","JFK","1055",9.00,0.00,,,,,,
2014-07-01,"AA","67","JFK","SJU","1729",31.00,0.00,0.00,0.00,31.00,0.00,0.00,
2014-07-01,"AA","84","BOS","JFK","1025",-10.00,0.00,,,,,,
2014-07-01,"AA","84","JFK","BOS","0830",-4.00,0.00,,,,,,
2014-07-01,"AA","85","JFK","SFO","1530",-25.00,0.00,,,,,,
2014-07-01,"AA","94","SAN","JFK","0755",14.00,0.00,,,,,,
2014-07-01,"AA","95","JFK","SAN","1745",90.00,0.00,0.00,0.00,90.00,0.00,0.00,
2014-07-01,"AA","235","JFK","SEA","1800",-22.00,0.00,,,,,,
2014-07-01,"AA","236","SEA","JFK","0700",30.00,0.00,28.00,0.00,2.00,0.00,0.00,
2014-07-01,"AA","163","JFK","SFO","2000",-22.00,0.00,,,,,,
2014-07-01,"AA","164","SFO","JFK","0840",-20.00,0.00,,,,,,
2014-07-01,"AA","168","SJU","JFK","1910",-12.00,0.00,,,,,,
2014-07-01,"AA","171","JFK","LAX","0600",-3.00,0.00,,,,,,
2014-07-01,"AA","172","LAX","JFK","1005",-32.00,0.00,,,,,,
