"FL_DATE","UNIQUE_CARRIER","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","ARR_DELAY","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2014-12-01,"AA","1","JFK","LAX","0900",-27.00,0.00,,,,,,
2014-12-01,"AA","2","LAX","JFK","0900",-46.00,0.00,,,,,,
2014-12-01,"AA","3","JFK","LAX","1230",-8.00,0.00,,,,,,
2014-12-01,"AA","4","LAX","JFK","1220",54.00,0.00,3.00,0.00,0.00,0.00,51.00,
2014-12-01,"AA","9","JFK","LAX","0700",0.00,0.00,,,,,,
2014-12-01,"AA","10","LAX","JFK","2150",-9.00,0.00,,,,,,
2014-12-01,"AA","12","LAX","JFK","1115",-30.00,0.00,,,,,,
2014-12-01,"AA","15","JFK","SFO","0800",-8.00,0.00,,,,,,
2014-12-01,"AA","16","SFO","JFK","1245",-31.00,0.00,,,,,,
2014-12-01,"AA","18","SFO","JFK","2225",4.00,0.00,,,,,,
2014-12-01,"AA","19","JFK","LAX","1100",21.00,0.00,0.00,0.00,21.00,0.00,0.00,
2014-12-01,"AA","20","SFO","JFK","1515",37.00,0.00,0.00,0.00,0.00,0.00,37.00,
2014-12-01,"AA","21","JFK","LAX","1845",29.00,0.00,0.00,0.00,29.00,0.00,0.00,
2014-12-01,"AA","22","LAX","JFK","1515",0.00,0.00,,,,,,
2014-12-01,"AA","24","SFO","JFK","0700",-48.00,0.00,,,,,,
2014-12-01,"AA","30","LAX","JFK","2330",-12.00,0.00,,,,,,
2014-12-01,"AA","32","LAX","JFK","1415",-17.00,0.00,,,,,,
2014-12-01,"AA","33","JFK","LAX","0800",85.00,0.00,54.00,0.00,31.00,0.00,0.00,
2014-12-01,"AA","34","LAX","JFK","0800",-14.00,0.00,,,,,,
2014-12-01,"AA","117","JFK","LAX","1445",-13.00,0.00,,,,,,
2014-12-01,"AA","118","LAX","JFK","0700",-25.00,0.00,,,,,,
2014-12-01,"AA","120","LAS","JFK","1015",-33.00,0.00,,,,,,
2014-12-01,"AA","133","JFK","LAX","1629",2.00,0.00,,,,,,
2014-12-01,"AA","44","LAS","JFK","0805",-19.00,0.00,,,,,,
2014-12-01,"AA","45","JFK","LAS","1729",16.00,0.00,0.00,0.00,16.00,0.00,0.00,
2014-12-01,"AA","64","DFW","JFK","1025",16.00,0.00,4.00,0.00,0.00,0.00,12.00,
2014-12-01,"AA","65","JFK","DFW","1615",5.00,0.00,,,,,,
2014-12-01,"AA","66","SJU","JFK","1150",-12.00,0.00,,,,,,
2014-12-01,"AA","67","JFK","SJU","1559",0.00,0.00,,,,,,
2014-12-01,"AA","149","ORD","JFK","1955",1.00,0.00,,,,,,
2014-12-01,"AA","163","JFK","SFO","1945",35.00,0.00,0.00,0.00,35.00,0.00,0.00,
2014-12-01,"AA","164","SFO","JFK","0845",-38.00,0.00,,,,,,
2014-12-01,"AA","84","BOS","JFK","0940",-9.00,0.00,,,,,,
2014-12-01,"AA","84","JFK","BOS","0730",-6.00,0.00,,,,,,
2014-12-01,"AA","85","JFK","SFO","1530",20.00,0.00,0.00,0.00,20.00,0.00,0.00,
2014-12-01,"AA","94","SAN","JFK","0745",-29.00,0.00,,,,,,
2014-12-01,"AA","95","JFK","SAN","1720",20.00,0.00,0.00,0.00,20.00,0.00,0.00,
2014-12-01,"AA","177","JFK","SFO","1745",23.00,0.00,0.00,0.00,23.00,0.00,0.00,
2014-12-01,"AA","178","BOS","JFK","1440",-17.00,0.00,,,,,,
2014-12-01,"AA","178","JFK","BOS","1240",-4.00,0.00,,,,,,
2014-12-01,"AA","179","JFK","SFO","1030",86.00,0.00,0.00,0.00,86.00,0.00,0.00,
2014-12-01,"AA","180","LAX","JFK","1645",-29.00,0.00,,,,,,
2014-12-01,"AA","181","JFK","LAX","1730",60.00,0.00,0.00,0.00,60.00,0.00,0.00,
2014-12-01,"AA","185","JFK","LAX","2045",33.00,0.00,0.00,0.00,33.00,0.00,0.00,
2014-12-01,"AA","190","JFK","ORD","0759",1.00,0.00,,,,,,
2014-12-01,"AA","255","JFK","LAX","1000",-38.00,0.00,,,,,,
2014-12-01,"AA","256","LAX","JFK","1330",7.00,0.00,,,,,,
2014-12-01,"AA","340","ORD","LGA","2030",-6.00,0.00,,,,,,
2014-12-01,"AA","342","MIA","LGA","1700",162.00,0.00,77.00,0.00,0.00,0.00,85.00,
2014-12-01,"AA","343","LGA","ORD","1610",38.00,0.00,0.00,0.00,38.00,0.00,0.00,
2014-12-01,"AA","345","LGA","ORD","1705",25.00,0.00,0.00,0.00,25.00,0.00,0.00,
2014-12-01,"AA","346","ORD","LGA","1915",-6.00,0.00,,,,,,
2014-12-01,"AA","350","ORD","LGA","1735",6.00,0.00,,,,,,
2014-12-01,"AA","352","ORD","LGA","1820",-2.00,0.00,,,,,,
2014-12-01,"AA","354","ORD","LGA","1700",38.00,0.00,0.00,0.00,38.00,0.00,0.00,
2014-12-01,"AA","355","LGA","ORD","1800",14.00,0.00,,,,,,
2014-12-01,"AA","235","JFK","SEA","1835",35.00,0.00,0.00,0.00,35.00,0.00,0.00,
2014-12-01,"AA","236","SEA","JFK","0700",-30.00,0.00,,,,,,
2014-12-01,"AA","371","LGA","ORD","2030",4.00,0.00,,,,,,
2014-12-01,"AA","374","ORD","LGA","1225",-10.00,0.00,,,,,,
2014-12-01,"AA","171","JFK","LAX","0600",-9.00,0.00,,,,,,
2014-12-01,"AA","172","LAX","JFK","1015",-30.00,0.00,,,,,,
2014-12-01,"AA","315","LGA","ORD","0730",-14.00,0.00,,,,,,
2014-12-01,"AA","317","LGA","ORD","0825",-14.00,0.00,,,,,,
2014-12-01,"AA","325","LGA","ORD","0945",-10.00,0.00,,,,,,
2014-12-01,"AA","326","MIA","JFK","1945",-30.00,0.00,,,,,,
