"FL_DATE","UNIQUE_CARRIER","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","ARR_DELAY","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2014-10-01,"AA","1","JFK","LAX","0900",-8.00,0.00,,,,,,
2014-10-01,"AA","2","LAX","JFK","0900",-1.00,0.00,,,,,,
2014-10-01,"AA","3","JFK","LAX","1230",-11.00,0.00,,,,,,
2014-10-01,"AA","4","LAX","JFK","1200",-2.00,0.00,,,,,,
2014-10-01,"AA","9","JFK","LAX","0700",-2.00,0.00,,,,,,
2014-10-01,"AA","10","LAX","JFK","2135",-3.00,0.00,,,,,,
2014-10-01,"AA","12","LAX","JFK","1100",4.00,0.00,,,,,,
2014-10-01,"AA","15","JFK","SFO","0800",-1.00,0.00,,,,,,
2014-10-01,"AA","16","SFO","JFK","1230",18.00,0.00,0.00,0.00,18.00,0.00,0.00,
2014-10-01,"AA","18","SFO","JFK","2225",42.00,0.00,42.00,0.00,0.00,0.00,0.00,
2014-10-01,"AA","19","JFK","LAX","1100",1.00,0.00,,,,,,
2014-10-01,"AA","20","SFO","JFK","1500",9.00,0.00,,,,,,
2014-10-01,"AA","21","JFK","LAX","1830",-25.00,0.00,,,,,,
2014-10-01,"AA","22","LAX","JFK","1500",-14.00,0.00,,,,,,
2014-10-01,"AA","24","SFO","JFK","0700",9.00,0.00,,,,,,
2014-10-01,"AA","30","LAX","JFK","2330",-3.00,0.00,,,,,,
2014-10-01,"AA","32","LAX","JFK","1400",89.00,0.00,89.00,0.00,0.00,0.00,0.00,
2014-10-01,"AA","33","JFK","LAX","0800",4.00,0.00,,,,,,
2014-10-01,"AA","34","LAX","JFK","0800",-10.00,0.00,,,,,,
2014-10-01,"AA","117","JFK","LAX","1445",-19.00,0.00,,,,,,
2014-10-01,"AA","118","LAX","JFK","0700",4.00,0.00,,,,,,
2014-10-01,"AA","120","LAS","JFK","1020",41.00,0.00,4.00,0.00,28.00,0.00,9.00,
2014-10-01,"AA","133","JFK","LAX","1630",-17.00,0.00,,,,,,
2014-10-01,"AA","84","BOS","JFK","0940",11.00,0.00,,,,,,
2014-10-01,"AA","84","JFK","BOS","0750",-9.00,0.00,,,,,,
2014-10-01,"AA","85","JFK","SFO","1530",-8.00,0.00,,,,,,
2014-10-01,"AA","94","SAN","JFK","0745",-12.00,0.00,,,,,,
2014-10-01,"AA","95","JFK","SAN","1720",11.00,0.00,,,,,,
2014-10-01,"AA","178","JFK","BOS","1240",0.00,0.00,,,,,,
2014-10-01,"AA","179","JFK","SFO","1030",29.00,0.00,9.00,0.00,20.00,0.00,0.00,
2014-10-01,"AA","180","LAX","JFK","1630",9.00,0.00,,,,,,
2014-10-01,"AA","181","JFK","LAX","1730",-6.00,0.00,,,,,,
2014-10-01,"AA","185","JFK","LAX","2045",4.00,0.00,,,,,,
2014-10-01,"AA","190","JFK","ORD","0800",7.00,0.00,,,,,,
2014-10-01,"AA","44","LAS","JFK","0800",14.00,0.00,,,,,,
2014-10-01,"AA","45","JFK","LAS","1715",1.00,0.00,,,,,,
2014-10-01,"AA","64","DFW","JFK","1025",4.00,0.00,,,,,,
2014-10-01,"AA","65","JFK","DFW","1615",-20.00,0.00,,,,,,
2014-10-01,"AA","66","SJU","JFK","1052",14.00,0.00,,,,,,
2014-10-01,"AA","67","JFK","SJU","1600",6.00,0.00,,,,,,
2014-10-01,"AA","149","ORD","JFK","1935",-4.00,0.00,,,,,,
2014-10-01,"AA","163","JFK","SFO","1945",27.00,0.00,0.00,0.00,27.00,0.00,0.00,
2014-10-01,"AA","164","SFO","JFK","0840",7.00,0.00,,,,,,
2014-10-01,"AA","235","JFK","SEA","1835",-17.00,0.00,,,,,,
2014-10-01,"AA","236","SEA","JFK","0700",13.00,0.00,,,,,,
2014-10-01,"AA","315","LGA","ORD","0729",43.00,0.00,0.00,0.00,43.00,0.00,0.00,
2014-10-01,"AA","317","LGA","ORD","0845",37.00,0.00,0.00,0.00,37.00,0.00,0.00,
2014-10-01,"AA","325","LGA","ORD","0945",9.00,0.00,,,,,,
2014-10-01,"AA","326","MIA","JFK","1945",12.00,0.00,,,,,,
2014-10-01,"AA","327","LGA","ORD","1025",21.00,0.00,0.00,0.00,15.00,0.00,6.00,
2014-10-01,"AA","329","LGA","ORD","1125",3.00,0.00,,,,,,
2014-10-01,"AA","290","AUS","JFK","1000",-10.00,0.00,,,,,,
2014-10-01,"AA","291","JFK","AUS","1700",1.00,0.00,,,,,,
2014-10-01,"AA","292","LAX","JFK","0600",7.00,0.00,,,,,,
2014-10-01,"AA","293","JFK","LAX","1930",-38.00,0.00,,,,,,
2014-10-01,"AA","303","LGA","ORD","0600",6.00,0.00,,,,,,
2014-10-01,"AA","307","LGA","ORD","0629",-4.00,0.00,,,,,,
2014-10-01,"AA","311","LGA","ORD","0659",-6.00,0.00,,,,,,
2014-10-01,"AA","374","ORD","LGA","1225",-7.00,0.00,,,,,,
2014-10-01,"AA","380","ORD","LGA","1040",75.00,0.00,64.00,0.00,11.00,0.00,0.00,
2014-10-01,"AA","198","ORD","JFK","1255",54.00,0.00,48.00,0.00,0.00,0.00,6.00,
2014-10-01,"AA","199","JFK","ORD","1710",88.00,0.00,0.00,0.00,39.00,0.00,49.00,
2014-10-01,"AA","340","ORD","LGA","2010",10.00,0.00,,,,,,
2014-10-01,"AA","342","MIA","LGA","1640",24.00,0.00,0.00,0.00,24.00,0.00,0.00,
2014-10-01,"AA","343","LGA","ORD","1615",15.00,0.00,0.00,0.00,15.00,0.00,0.00,
2014-10-01,"AA","345","LGA","ORD","1710",22.00,0.00,0.00,0.00,22.00,0.00,0.00,
2014-10-01,"AA","346","ORD","LGA","1850",64.00,0.00,0.00,0.00,0.00,0.00,64.00,
2014-10-01,"AA","350","ORD","LGA","1735",16.00,0.00,0.00,0.00,16.00,0.00,0.00,
2014-10-01,"AA","352","ORD","LGA","1820",-1.00,0.00,,,,,,
2014-10-01,"AA","355","LGA","ORD","1800",16.00,0.00,0.00,0.00,0.00,0.00,16.00,
2014-10-01,"AA","358","ORD","LGA","1615",71.00,0.00,10.00,0.00,18.00,0.00,43.00,
2014-10-01,"AA","359","LGA","ORD","1845",61.00,0.00,0.00,0.00,61.00,0.00,0.00,
2014-10-01,"AA","360","ORD","LGA","1540",10.00,0.00,,,,,,
2014-10-01,"AA","363","LGA","ORD","1940",23.00,0.00,0.00,0.00,23.00,0.00,0.00,
2014-10-01,"AA","364","ORD","LGA","1455",-8.00,0.00,,,,,,
2014-10-01,"AA","366","ORD","LGA","1410",32.00,0.00,0.00,0.00,19.00,0.00,13.00,
2014-10-01,"AA","368","ORD","LGA","1320",9.00,0.00,,,,,,
2014-10-01,"AA","331","LGA","ORD","1220",6.00,0.00,,,,,,
2014-10-01,"AA","335","LGA","ORD","1310",112.00,0.00,0.00,0.00,112.00,0.00,0.00,
2014-10-01,"AA","337","LGA","ORD","1425",70.00,0.00,0.00,0.00,0.00,0.00,70.00,
2014-10-01,"AA","398","ORD","LGA","0600",9.00,0.00,,,,,,
2014-10-01,"AA","1131","LGA","DFW","0929",21.00,0.00,0.00,0.00,21.00,0.00,0.00,
2014-10-01,"AA","1133","LGA","MIA","1215",-13.00,0.00,,,,,,
2014-10-01,"AA","1133","MIA","LGA","0800",7.00,0.00,,,,,,
2014-10-01,"AA","1138","DFW","LGA","1125",59.00,0.00,0.00,0.00,54.00,0.00,5.00,
2014-10-01,"AA","1138","LGA","DFW","1630",74.00,0.00,11.00,0.00,4.00,0.00,59.00,
2014-10-01,"AA","1140","DFW","LGA","1205",66.00,0.00,0.00,0.00,64.00,0.00,2.00,
2014-10-01,"AA","1140","LGA","DFW","1715",75.00,0.00,0.00,0.00,18.00,0.00,57.00,
2014-10-01,"AA","1144","DFW","LGA","1335",19.00,0.00,0.00,0.00,19.00,0.00,0.00,
2014-10-01,"AA","1144","LGA","DFW","1850",16.00,0.00,0.00,0.00,7.00,0.00,9.00,
2014-10-01,"AA","1148","DFW","LGA","1455",5.00,0.00,,,,,,
2014-10-01,"AA","1152","DFW","LGA","1605",10.00,0.00,,,,,,
2014-10-01,"AA","171","JFK","LAX","0600",-11.00,0.00,,,,,,
2014-10-01,"AA","172","LAX","JFK","1000",-2.00,0.00,,,,,,
2014-10-01,"AA","177","JFK","SFO","1750",18.00,0.00,0.00,0.00,18.00,0.00,0.00,
2014-10-01,"AA","178","BOS","JFK","1430",0.00,0.00,,,,,,
2014-10-01,"AA","1103","LGA","DFW","0600",46.00,0.00,46.00,0.00,0.00,0.00,0.00,
2014-10-01,"AA","1104","DFW","LGA","0650",-18.00,0.00,,,,,,
2014-10-01,"AA","1104","LGA","DFW","1159",20.00,0.00,0.00,0.00,20.00,0.00,0.00,
2014-10-01,"AA","1107","LGA","DFW","0655",-5.00,0.00,,,,,,
2014-10-01,"AA","1108","DFW","LGA","0740",-2.00,0.00,,,,,,
2014-10-01,"AA","1108","LGA","DFW","1245",4.00,0.00,,,,,,
2014-10-01,"AA","1109","LGA","MIA","1359",-17.00,0.00,,,,,,
2014-10-01,"AA","1109","MIA","LGA","0940",0.00,0.00,,,,,,
2014-10-01,"AA","1110","DFW","LGA","0815",7.00,0.00,,,,,,
2014-10-01,"AA","1110","LGA","DFW","1329",13.00,0.00,,,,,,
2014-10-01,"AA","1111","LGA","DFW","0745",11.00,0.00,,,,,,
2014-10-01,"AA","1114","DFW","LGA","0945",9.00,0.00,,,,,,
2014-10-01,"AA","1114","LGA","DFW","1455",20.00,0.00,0.00,0.00,20.00,0.00,0.00,
2014-10-01,"AA","1120","DFW","LGA","1040",17.00,0.00,0.00,0.00,17.00,0.00,0.00,
2014-10-01,"AA","1120","LGA","DFW","1545",-1.00,0.00,,,,,,
2014-10-01,"AA","1121","LGA","DFW","0815",1.00,0.00,,,,,,
2014-10-01,"AA","255","JFK","LAX","1000",-3.00,0.00,,,,,,
2014-10-01,"AA","256","LAX","JFK","1305",5.00,0.00,,,,,,
2014-10-01,"AA","1164","DFW","LGA","1725",8.00,0.00,,,,,,
2014-10-01,"AA","1165","BOS","JFK","0605",-16.00,0.00,,,,,,
2014-10-01,"AA","1170","DFW","LGA","1845",39.00,0.00,0.00,0.00,24.00,0.00,15.00,
2014-10-01,"AA","1260","MIA","JFK","0716",-2.00,0.00,,,,,,
2014-10-01,"AA","1263","JFK","LAS","0700",14.00,0.00,,,,,,
2014-10-01,"AA","1156","DFW","LGA","1635",91.00,0.00,0.00,0.00,91.00,0.00,0.00,
2014-10-01,"AA","1297","LGA","MIA","0600",-17.00,0.00,,,,,,
2014-10-01,"AA","1308","MCO","JFK","1850",-2.00,0.00,,,,,,
2014-10-01,"AA","1451","JFK","MIA","1415",-42.00,0.00,,,,,,
2014-10-01,"AA","1453","DFW","JFK","1620",-17.00,0.00,,,,,,
2014-10-01,"AA","1406","MIA","JFK","2105",-16.00,0.00,,,,,,
2014-10-01,"AA","1508","MIA","JFK","1240",4.00,0.00,,,,,,
2014-10-01,"AA","1510","MIA","JFK","1500",-19.00,0.00,,,,,,
2014-10-01,"AA","1580","MIA","JFK","0935",-14.00,0.00,,,,,,
2014-10-01,"AA","1646","JFK","MIA","1059",-24.00,0.00,,,,,,
2014-10-01,"AA","1589","LGA","MIA","2015",-3.00,0.00,,,,,,
2014-10-01,"AA","1599","LGA","MIA","1915",14.00,0.00,,,,,,
2014-10-01,"AA","1599","MIA","LGA","1433",35.00,0.00,0.00,0.00,35.00,0.00,0.00,
2014-10-01,"AA","2243","LGA","MIA","0810",-12.00,0.00,,,,,,
2014-10-01,"AA","2248","MIA","LGA","1825",6.00,0.00,,,,,,
