"FL_DATE","UNIQUE_CARRIER","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","ARR_DELAY","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2014-09-01,"AA","1","JFK","LAX","0900",-26.00,0.00,,,,,,
2014-09-01,"AA","2","LAX","JFK","0900",-22.00,0.00,,,,,,
2014-09-01,"AA","3","JFK","LAX","1230",-21.00,0.00,,,,,,
2014-09-01,"AA","4","LAX","JFK","1200",-14.00,0.00,,,,,,
2014-09-01,"AA","9","JFK","LAX","0700",-15.00,0.00,,,,,,
2014-09-01,"AA","10","LAX","JFK","2135",-29.00,0.00,,,,,,
2014-09-01,"AA","12","LAX","JFK","1100",-18.00,0.00,,,,,,
2014-09-01,"AA","15","JFK","SFO","0800",-6.00,0.00,,,,,,
2014-09-01,"AA","16","SFO","JFK","1230",-12.00,0.00,,,,,,
2014-09-01,"AA","18","SFO","JFK","2225",-31.00,0.00,,,,,,
2014-09-01,"AA","19","JFK","LAX","1100",-13.00,0.00,,,,,,
2014-09-01,"AA","20","SFO","JFK","1500",-17.00,0.00,,,,,,
2014-09-01,"AA","21","JFK","LAX","1830",-8.00,0.00,,,,,,
2014-09-01,"AA","22","LAX","JFK","1500",-1.00,0.00,,,,,,
2014-09-01,"AA","24","SFO","JFK","0700",-17.00,0.00,,,,,,
2014-09-01,"AA","30","LAX","JFK","2330",-31.00,0.00,,,,,,
2014-09-01,"AA","32","LAX","JFK","1400",-18.00,0.00,,,,,,
2014-09-01,"AA","33","JFK","LAX","0800",-9.00,0.00,,,,,,
2014-09-01,"AA","34","LAX","JFK","0800",-15.00,0.00,,,,,,
2014-09-01,"AA","149","ORD","JFK","1935",3.00,0.00,,,,,,
2014-09-01,"AA","163","JFK","SFO","1945",44.00,0.00,0.00,0.00,44.00,0.00,0.00,
2014-09-01,"AA","164","SFO","JFK","0840",-29.00,0.00,,,,,,
2014-09-01,"AA","84","BOS","JFK","0940",-11.00,0.00,,,,,,
