"FL_DATE","UNIQUE_CARRIER","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","ARR_DELAY","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2014-11-01,"AA","1","JFK","LAX","0900",-12.00,0.00,,,,,,
2014-11-01,"AA","2","LAX","JFK","0900",-4.00,0.00,,,,,,
2014-11-01,"AA","3","JFK","LAX","1230",83.00,0.00,0.00,0.00,83.00,0.00,0.00,
2014-11-01,"AA","4","LAX","JFK","1200",-18.00,0.00,,,,,,
2014-11-01,"AA","9","JFK","LAX","0700",-12.00,0.00,,,,,,
2014-11-01,"AA","10","LAX","JFK","2135",-1.00,0.00,,,,,,
2014-11-01,"AA","12","LAX","JFK","1100",-5.00,0.00,,,,,,
2014-11-01,"AA","15","JFK","SFO","0800",-17.00,0.00,,,,,,
2014-11-01,"AA","16","SFO","JFK","1230",4.00,0.00,,,,,,
2014-11-01,"AA","18","SFO","JFK","2225",-2.00,0.00,,,,,,
2014-11-01,"AA","19","JFK","LAX","1100",-20.00,0.00,,,,,,
2014-11-01,"AA","20","SFO","JFK","1500",-6.00,0.00,,,,,,
2014-11-01,"AA","21","JFK","LAX","1830",-14.00,0.00,,,,,,
2014-11-01,"AA","22","LAX","JFK","1500",25.00,0.00,25.00,0.00,0.00,0.00,0.00,
2014-11-01,"AA","24","SFO","JFK","0700",3.00,0.00,,,,,,
2014-11-01,"AA","30","LAX","JFK","2330",3.00,0.00,,,,,,
2014-11-01,"AA","32","LAX","JFK","1400",-6.00,0.00,,,,,,
2014-11-01,"AA","33","JFK","LAX","0800",52.00,0.00,41.00,0.00,11.00,0.00,0.00,
2014-11-01,"AA","34","LAX","JFK","0800",-17.00,0.00,,,,,,
2014-11-01,"AA","84","BOS","JFK","0940",5.00,0.00,,,,,,
2014-11-01,"AA","84","JFK","BOS","0750",-10.00,0.00,,,,,,
2014-11-01,"AA","85","JFK","SFO","1530",21.00,0.00,0.00,0.00,21.00,0.00,0.00,
2014-11-01,"AA","94","SAN","JFK","0745",-17.00,0.00,,,,,,
2014-11-01,"AA","95","JFK","SAN","1720",-10.00,0.00,,,,,,
